Item_Number,Onderdeel,Lengte,Breedte,Dikte,Materiaal,Extra_Info
71,Valklep,1000,243.5,19MDF,19mm AFQMxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Aantal onderdelen: 71 | Page 6 of 360411_MO07202-7203_TV-wand (7-7) | MO07202-7203 | Project: | S8 | Schuren | Rudi MatterneKlant: | Tekenaar: JW | Sales nr: S04479 | 0411_MO07202-7203_TV-wand (7-7) Opdeelzaag
1,LZ,503,,,,FineerPlaat AFQMxB 19mm Int | bloom
469,19,Borstellen,,,,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
2,OC,1000,,,,FineerPlaat AFQMxB 19mm Int | bloom
469,19,,,,,
3,RZ,503,,,,FineerPlaat AFQMxB 19mm Int | bloom
469,19,Borstellen,,,,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
4,Bodem,935.5MDF,13mm,BxB,295 13,
5,Bodem,934MDF,13mm,BxB,295 13,
6,Bodem,935.5MDF,13mm,BxB,295 13,
7,Bodem,932.5MDF,13mm,BxB,295 13,
8,Bodem,930MDF,13mm,BxB,395 13,
9,Bodem,930MDF,13mm,BxB,395 13,
10,Bodem,932.5MDF,13mm,BxB,295 13,
11,Valse,rug,622MDF,13mm,BxB 467.667 13,
12,L_greep,1001.5MDF,19mm,AFQMxB,97 19 Afwerken_GR-Gannomat,Fineer eik | 1mm | Fineer eik | 1mm
13,L_greep,1004.5MDF,19mm,AFQMxB,97 19 Afwerken_GR-Gannomat,Fineer eik | 1mm | Fineer eik | 1mm
14,L_greep,1003MDF,19mm,AFQMxB,97 19 Afwerken_GR-Gannomat,Fineer eik | 1mm | Fineer eik | 1mm
15,L_greep,1004.5MDF,19mm,AFQMxB,"100 19 1x 60mm breed, 1x 34mm breed",Fineer eik | 1mm
16,L_greep,1001.5MDF,19mm,AFQMxB,"100 19 1x 60mm breed, 1x 34mm breed",Fineer eik | 1mm
17,L_greep,1003MDF,19mm,AFQMxB,"100 19 1x 60mm breed, 1x 34mm breed",Fineer eik | 1mm
18,L-greep,1466MDF,19mm,AFQMxB,"120 19 1x 70mm breed, 1x 34mm breed",Fineer eik | 1mm
19,Paslat_Dik,2770MDF,23mm,AFQMxB,100 23,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Page 7 of 360411_MO07202-7203_TV-wand (7-7)
20,BB_01,387.5MDF,31mm,AFQMxB,"416 31 Achteraf afsjangen, B=20mm overmaat",Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
21,BB_02,2641.5MDF,31mm,AFQMxB,"416 31 Achteraf afsjangen, B=20mm overmaat",Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
22,Plank,453MDF,31mm,BxB,313 31,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
23,RG,1952MDF,5mm,BxB,505 5,
24,RG,975MDF,5mm,BxB,491 5,
25,RG,1950MDF,5mm,BxB,350 5,
26,RG,977MDF,5mm,BxB,525 5,
27,RG,975.5MDF,5mm,BxB,248.5 5,
28,RG,978.5MDF,5mm,BxB,525 5,
29,RG01,1706MDF,5mm,BxB,476.167 5,
30,RG02,1706MDF,5mm,BxB,487.667 5,
31,RG03,1706MDF,5mm,BxB,476.167 5,"Aantal onderdelen: 31 | Page 8 of 360411_MO07202-7203_TV-wand (7-7) | MO07202-7203 | Project: | S8 | Schuren | Rudi MatterneKlant: | Tekenaar: JW | Sales nr: S04479 | 0411_MO07202-7203_TV-wand (7-7) Massief | Accura: | BB_01 en BB_02 na handwerk pas afsjangen | Opus: | - Hoeken recht frezen van zijden (BK_Dressing_02-03-04) | Handwerk: | - BB_01 en BB_02 met elkaar verbinden (achteraf afsjangen) | - 2x L-greep monteren (zie tek) | - Uitsparing in zijden afsjangen (1 kantje) info JW | Glasdeur met smal zwart profiel en helder glas, | zonder onderverdeling"
1,AS,921Massief_PM___x14ZS,206,14,uitkiepen 60x12,
2,AS,921Massief_PM___x14ZS,206,14,uitkiepen 60x12,
3,AS,923.5Massief_PM___x14ZS,160,14,uitkiepen 60x12,
4,AS,923.5Massief_PM___x14ZS,160,14,uitkiepen 60x12,
5,AS,925Massief_PM___x14ZS,160,14,uitkiepen 60x12,
6,AS,926.5Massief_PM___x14ZS,160,14,uitkiepen 60x12,
7,AS,926.5Massief_PM___x14ZS,160,14,uitkiepen 60x12,Page 9 of 360411_MO07202-7203_TV-wand (7-7)
8,ZS_L,300Massief_PM___x14ZS,160,14,,
9,ZS_L,300Massief_PM___x14ZS,160,14,,
10,ZS_L,300Massief_PM___x14ZS,160,14,,
11,ZS_L,300Massief_PM___x14ZS,160,14,,
12,ZS_L,300Massief_PM___x14ZS,160,14,,
13,ZS_L,400Massief_PM___x14ZS,206,14,,
14,ZS_L,400Massief_PM___x14ZS,206,14,,
15,ZS_R,300Massief_PM___x14ZS,160,14,,
16,ZS_R,300Massief_PM___x14ZS,160,14,,
17,ZS_R,300Massief_PM___x14ZS,160,14,,
18,ZS_R,300Massief_PM___x14ZS,160,14,,
19,ZS_R,300Massief_PM___x14ZS,160,14,,
20,ZS_R,400Massief_PM___x14ZS,206,14,,
21,ZS_R,400Massief_PM___x14ZS,206,14,,
22,Plint,Dressing,A,1428Massief_PM018x18PD,18 18,
23,Plint,Dressing,A,493Massief_PM018x18PD,18 18,
24,Plint,Dressing,A,963.5Massief_PM018x18PD,18 18,
25,Plint,Dressing,A,965Massief_PM018x18PD,18 18,
26,Plint,Dressing,A,966.5Massief_PM018x18PD,18 18,
27,Plint,Dressing,V,1428Massief_PM018x18PD,18 18,
28,Plint,Dressing,V,493Massief_PM018x18PD,18 18,
