page_number,item_number,onderdeel,materiaal,lengte,breedte,dikte,l1,l2,b1,b2,pro_methode,opmerkingen,source_line,is_te_bestellen
5,70,LF_05,MDF 19mm AFQMxB,1000,243.5,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"70 LF_05 MDF 19mm AFQMxB 1000 243.5 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
5,7,Valklep,MDF 19mm AFQMxB,1000,243.5,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,," Valklep MDF 19mm AFQMxB 1000 243.5 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
5,64,LF_01,MDF,64,01,19,,,,,Standaard,,64 LF_01 MDF 19mm AFQMxB 981 250 19 Fineer eikFineer eikFineer eikFineer eik Standaard Borstellen,False
5,66,LF_02,MDF,66,02,19,,,,,Standaard,,66 LF_02 MDF 19mm AFQMxB 981 250 19 Fineer eikFineer eikFineer eikFineer eik Standaard Borstellen,False
5,68,LF_03,MDF,68,03,19,,,,,Standaard,,68 LF_03 MDF 19mm AFQMxB 1000 243.5 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
5,69,LF_04,MDF,69,04,19,,,,,Standaard,,69 LF_04 MDF 19mm AFQMxB 1000 243.5 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
5,70,LF_05,MDF,70,05,19,,,,,Standaard,,70 LF_05 MDF 19mm AFQMxB 1000 243.5 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
5,71,Valklep,MDF,71,19,1000,,,,,Standaard,,71 Valklep MDF 19mm AFQMxB 1000 243.5 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
6,1,LZ,"FineerPlaat AFQMxB 19mm Int
bloom",503,469,19,"Fineer eik
1mm",,"Fineer eik
1mm","Fineer eik
1mm",,," LZ FineerPlaat AFQMxB 19mm Int
bloom 503 469 19 Fineer eik
1mm  Fineer eik
1mm Fineer eik
1mm ",False
6,2,OC,"FineerPlaat AFQMxB 19mm Int
bloom",1000,469,19,,,,,,,"2 OC FineerPlaat AFQMxB 19mm Int
bloom 1000 469 19     ",False
6,3,RZ,"FineerPlaat AFQMxB 19mm Int
bloom",503,469,19,,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,," RZ FineerPlaat AFQMxB 19mm Int
bloom 503 469 19  Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm ",False
6,4,Bodem,MDF 13mm BxB,935.5,295,13,,,,,,,4 Bodem MDF 13mm BxB 935.5 295 13     ,False
6,11,Valse rug,MDF 13mm BxB,622,467.667,13,,,,,,, Valse rug MDF 13mm BxB 622 467.667 13     ,False
