625;MDF 13mm AFQMxB;3050;1220;13;625;0;0;0;0;0;0;0;0;0;0;HOOFD NR      ;0;0
630;MDF 17mm AFQMxAFQM;2800;2070;17;630;24;0;24;24;0;0;0;0;0;0;HOOFD NR      ;0;0
640;MDF 19mm EikAwerenxB;2800;2070;19;640;12;0;12;12;0;0;0;0;0;0;HOOFD NR      ;0;0
641;MDF 19MM EikAwerenxBweinig weren;2800;2070;19;641;10;0;10;10;0;0;0;0;0;0;HOOFD NR      ;0;0
645;MDF Zwart 19mm BxB Japandi;2800;2070;19;645;7;0;7;7;0;0;0;0;0;0;HOOFD NR      ;0;0
646;MDF Zwart 20mm BxB Japandi;2800;2070;20;646;10;0;10;10;0;0;0;0;0;0;HOOFD NR      ;0;0
650;MDF 19mm AFQMxB;2800;2070;19;650;16;0;16;16;0;0;0;0;0;0;HOOFD NR      ;0;0
652;MDF 19mm AFQMxB Deuren;3050;1300;19;650;0;0;0;0;0;0;0;0;0;0;              ;0;0
654;MDF 19mm AFQMxROOD;3050;1300;19;654;0;0;0;0;0;0;0;0;0;0;              ;0;0
655;MDF 19mm AFQMxB S1-S5;2550;1250;19;720;0;0;0;0;0;0;0;0;0;0;              ;0;0
656;MDF 20mm SCRATCH;3050;1250;20;656;5;0;5;5;0;0;0;0;0;0;HOOFD NR      ;0;0
660;MDF 23mm AFQMxB;2800;2070;23;660;14;0;14;14;0;0;0;0;0;0;HOOFD NR      ;0;0
661;MDF 23mm AFQMxAFQM;2800;2070;23;661;1;0;1;1;0;0;0;0;0;0;HOOFD NR      ;0;0
662;MDF 23mm BxB;2800;2070;23;662;18;0;18;18;0;0;0;0;0;0;HOOFD NR      ;0;0
663;MDF 23mm AFQMxAFQM;2545;1215;23;661;0;0;0;0;0;0;0;0;0;0;              ;0;0
664;MDF 26mm AFQMxB;3050;1220;26;664;0;0;0;0;0;0;0;0;0;0;HOOFD NR      ;0;0
665;MDF 31mm AFQMxB;2800;2070;31;665;1;0;1;1;0;0;0;0;0;0;HOOFD NR      ;0;0
666;MDF 31mm AFQMxAFQM;2800;2070;31;666;0;0;0;0;0;0;0;0;0;0;HOOFD NR      ;0;0
667;MDF 31mm BxB;2800;2070;31;667;8;0;8;8;0;0;0;0;0;0;HOOFD NR      ;0;0
668;MDF 31mm BxB;3050;1220;31;667;0;0;0;0;0;0;0;0;0;0;              ;0;0
669;MDF 31mm NOOTxNOOT;3050;1260;31;669;4;0;4;4;0;0;0;0;0;0;HOOFD NR      ;0;0
670;MDF Zwart 19mm KrakAwxB;2800;1240;19;670;0;0;0;0;0;0;0;0;0;0;HOOFD NR      ;0;0
671;MDF Zwart 19mm KrakAwxB;1835;800;19;670;36;0;36;36;0;0;0;0;0;0;              ;0;0
672;MDF Zwart 19mm KrakAwxB;2445;800;19;670;0;0;0;0;0;0;0;0;0;0;              ;0;0
673;MDF Groen 19mm KrakAwxB;3160;1300;19;673;0;0;0;0;0;0;0;0;0;0;HOOFD NR      ;0;0
675;MDF Zwart 19mm NOOTxNOOT;3050;1270;19;675;0;0;0;0;0;0;0;0;0;0;HOOFD NR      ;0;0
676;MDF Zwart 19mm NOOTxNOOT;3050;1220;19;675;0;0;0;0;0;0;0;0;0;0;HOOFD NR      ;0;0
